2ndsenseaudio,com.2ndsenseaudio.wiggle,Wiggle.vst
uaudio,com.uaudio.effects.uad teletronix la-2a silver,Universal Audio/UAD Mono/UAD Teletronix LA-2A Silver(m).vst
uaudio,com.uaudio.console recall,Universal Audio/UAD Console/Console Recall.vst
ueberschall,com.ueberschall.elastikplayer,Elastik 3.vst
ujam,com.ujam.vgcarbon,UJAM/VG-CARBON.vst
ujam,com.ujam.vgamber2,UJAM/VG-AMBER2.vst
ujam,com.ujam.finvood,UJAM/FIN-VOOD.vst
ujam,com.ujam.vgiron2,UJAM/VG-IRON2.vst
ujam,com.ujam.synframe,UJAM/USYNTH.vst
ujam,com.ujam.vdphat,UJAM/VD-PHAT.vst
ujam,com.ujam.gmone,UJAM/GM-ONE.vst
unfilteredaudio,com.unfilteredaudio.lion,Plugin Alliance/Unfiltered Audio LION.vst
uvi,net.uvi.dualdelayx,DualDelayX.vst
uvisoundsource,com.uvisoundsource.uviworkstationvst,UVIWorkstationVST.vst
valhalladsp,com.valhalladsp.valhallasupermassive,ValhallaSupermassive.vst
valhalladsp,com.valhalladsp.valhallaspacemodulator,ValhallaSpaceModulator.vst
valhalladsp,com.valhalladsp.valhallafreqecho,ValhallaFreqEcho.vst
valhalladsp,com.valhalladsp.valhalladelay,ValhallaDelay.vst
vcvrack,com.vcvrack.rack,VCV Rack 2.vst
vcvrack,com.vcvrack.rack,VCV Rack 2 FX.vst
voxengo,com.voxengo.audio-plugins.vst2.overtonegeq,Overtone GEQ.vst
voxengo,com.voxengo.audio-plugins.vst2.marvelgeq,Marvel GEQ.vst
voxengo,com.voxengo.audio-plugins.vst2.tempodelay,Tempo Delay.vst
waproduction,com.waproduction.babylon,Babylon.vst
wavesfactory,com.wavesfactory.trackspacer25,Trackspacer25.vst
wavesfactory,com.wavesfactory.flash,Flash.vst
wavesfactory,com.wavesfactory.echocat,Echo Cat.vst
wizoo,com.wizoo.xpand2,Xpand!2.vst
wizoo,com.wizoo.vacuumpro,VacuumPro.vst
wizoo,com.wizoo.hybrid,Hybrid.vst
xfer,com.xfer.serum.vst,KORG/Serum.vst
xfer,com.xfer.cthulhu.vst,Cthulhu.vst
xfer,com.xfer.ott.vst,OTT.vst
xfer,com.xfer.serum.vst,Serum.vst
xfer,com.xfer.8bitshaper,8BitShaper.vst
xfer,com.xfer.serumfx.vst,SerumFX.vst
xfer,com.xfer.dimexp.vst,DimensionExpander.vst
xfer,com.xfer.deltamodulator,DeltaModulator.vst
xhip,com.xhip,Xhip.vst
xlnaudio,com.xlnaudio.ds10drumshaper,DS-10 Drum Shaper.vst
xlnaudio,com.xlnaudio.addictivedrums2,Addictive Drums 2.vst
xlnaudio,com.xlnaudio.rc20retrocolor,RC-20 Retro Color.vst
xlnaudio,com.xlnaudio.addictivetrigger,Addictive Trigger.vst
xlnaudio,com.xlnaudio.xo,XO.vst
xlnaudio,com.xlnaudio.addictivekeys,Addictive Keys.vst
yoozmusic,com.yoozmusic.vst.yoozbl303,YoozBL303(x64).vst
yourcompany,com.yourcompany.freemod,FreeMod.vst
yourcompany,com.yourcompany.abpl2,ABPL2.vst
